studies,country,Dignostic_method,Tryp_type,Year,study ID
An unexpected diversity of trypanosomatids in fecal samples of great apes, Cameroon , PCR ," Leishmania', 'Trypanosoma ",2013,"(Votýpka et al., 2013)"
Diversity of Trypanosomatids (Kinetoplastea: Trypanosomatidae) Parasitizing Fleas (Insecta: Siphonaptera) and Description of a New Genus Blechomonas gen. n, NA , cultures ,Trypanosoma,2004,"(Voyvoda et al., 2004)"
"Prevalence of Leishmania infantum and Dirofilaria immitis infection in dogs in Aydin province and the town of Selcuk, Izmir, Turkey", Turkey ," ELISA', 'IFA "," Leishmania infantum', 'Leishmania ",2003,"(Waiswa et al., 2003)"
Domestic animals as reservoirs for sleeping sickness in three endemic foci in south-eastern Uganda, Uganda , NA ," T. brucei', 'Trypanosoma brucei', 'Trypanosoma ",2011,"(Wang et al., 2011)"
The prevalence of canine Leishmania infantum infection in western China detected by PCR and serological tests, China ," ELISA', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2019,"(Weber et al., 2019)"
Genetic diversity of trypanosome species in tsetse flies (Glossina spp.) in Nigeria," Niger', 'Nigeria ", ITS1 ," T. brucei', 'T. vivax', 'Trypanosoma congolense', 'Trypanosoma ",Na,"(Wei et al., Na)"
Molecular Detection and Genetic Diversity of Leishmania donovani in Naturally Infected Phlebotomus chinensi from Southwestern China, China ," PCR', 'ITS2 ",Leishmania,2017,"(Weny et al., 2017)"
"PREVALENCE AND RISK FACTORS ASSOCIATED WITH HEMOPARASITES IN CATTLE AND GOATS AT THE EDGE OF KIBALE NATIONAL PARK, WESTERN UGANDA", Uganda ," CATT', 'microscopy ",Trypanosoma,2011,"(Whitehorn et al., 2011)"
"Genetic diversity, parasite prevalence and immunity in wild bumblebees", NA , NA ,Crithidia bombi,2013,"(Whitehorn et al., 2013)"
Investigating the impact of deploying commercial Bombus terrestris for crop pollination on pathogen dynamics in wild bumble bees, NA , NA ,NA,2011,"(Wilfert et al., 2011)"
Trypanosomatids are common and diverse parasites of Drosophila, NA , NA ,Trypanosoma,2015,"(Willi et al., 2015)"
Clinical and molecular investigation of a canine distemper outbreak and vector-borne infections in a group of rescue dogs imported from Hungary to Switzerland," Hungary', 'Switzerland ", PCR ," Leishmania infantum', 'Leishmania ",2019,"(Williams et al., 2019)"
Molecular survey for the honey bee (Apis mellifera L.) trypanosome parasites Crithidia mellificae and Lotmaria passim, NA , PCR ," Crithidia mellificae', 'Lotmaria passim', 'L. passim', 'C. mellificae ",2016,"(Wong et al., 2016)"
Molecular epidemiology of Trypanosoma cruzi and Triatoma dimidiata in costal Ecuador, Ecuador , NA ," T. cruzi', 'Trypanosoma ",2015,"(Xu et al., 2015)"
Molecular detection of vector-borne agents in dogs from ten provinces of China, China ," qPCR', 'PCR "," Leishmania spp.', 'Leishmania ",2018,"(Xu et al., 2018)"
Triplex real-time PCR for detection of Crithidia mellificae and Lotmaria passim in honey bees, NA ," microscopic', 'PCR "," Crithidia mellificae', 'Lotmaria passim', 'L. passim', 'C. mellificae ",2002,"(Yabsley & Noblet, 2002)"
Seroprevalence of Trypanosoma cruzi in raccoons from South Carolina and Georgia, Georgia ," IFAT', 'IFA "," T. cruzi', 'Trypanosoma ",2001,"(Yabsley et al., 2001)"
Comparison of serological methods and blood culture for detection of Trypanosoma cruzi infection in raccoons (Procyon lotor), Georgia ," enzyme-linked immunosorbent assay', 'ELISA', 'IFAT', 'IFA "," T. cruzi', 'Trypanosoma ",2019,"(Yadav et al., 2019)"
Seroprevalence of Trypanosoma evansi Infection in Equines of North and North Western States of India, India , enzyme-linked immunosorbent assay ," T. evansi', 'Trypanosoma evansi', 'Trypanosomosis', 'Trypanosoma ",1996,"(YaghoobiErshadi & Javadian, 1996)"
"Seasonal variation of Leishmania major infection rates in sandflies from rodent burrows in Isfahan province, Iran", Iran , NA ," Leishmania major', 'Leishmania ",2018,"(Yefi-Quinteros et al., 2018)"
Trypanosoma cruzi load in synanthropic rodents from rural areas in Chile, Chile , PCR ," T. cruzi', 'Trypanosoma ",Na,"(Yurchenko et al., Na)"
Diversity of Trypanosomatids in Cockroaches and the Description of Herpetomonas tarakana sp. n, NA , NA ,Trypanosoma,2010,"(Yusufmia et al., 2010)"
"Occurrence of Theileria parva and other haemoprotozoa in cattle at the edge of Hluhluwe-iMfolozi Park, KwaZulu-Natal, South Africa", South Africa ," PCR-RFLP', 'PCR-RFLP ', 'PCR "," bovine', 'Trypanosoma ",2017,"(Zaidi et al., 2017)"
"Environmental risk modelling and potential sand fly vectors of cutaneous leishmaniasis in Chitral district: a leishmanial focal point of mount Tirich Mir, Pakistan", Pakistan , NA ,NA,2014,"(Zanet et al., 2014)"
"Epidemiology of Leishmania infantum, Toxoplasma gondii, and Neospora caninum in Rattus rattus in absence of domestic reservoir and definitive hosts", NA , PCR ," Leishmania infantum', 'L. infantum', 'Leishmania ",2018,"(Zangooie et al., 2018)"
"Molecular detection of Trypanosoma evansi based on ITS1 rDNA gene in Camelus dromedarius in Sistan Region, Iran"," Argentina', 'China', 'India', 'Iran', 'Philippines', 'Taiwan', 'Thailand "," microscopic', 'polymerase chain reaction', 'PCR', 'ITS1 "," T. evansi', 'T. brucei', 'T. congolense', 'T. vivax', 'Trypanosoma evansi', 'Trypanosoma ",2017,"(Zecca et al., 2017)"
"EPIDEMIOLOGY OF TRYPANOSOMA CRUZI IN URBAN DWELLING OPOSSUM (DIDELPHIS VIRGINIANA) AND FERAL CAT (FELIS CATUS) POPULATIONS OF THE RIO GRANDE VALLEY, TEXAS", Canada , NA ," T. cruzi', 'Trypanosoma ",2001,"(Zeleke & Bekele, 2001)"
Effect of season on the productivity of camels (Camelus dromedarius and the prevalence of their major parasites in Eastern Ethiopia, Ethiopia , NA ," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2003,"(Zerpa et al., 2003)"
